"period"	"subject"	"perc_stock"	"condition"
124	"le105"	0.849973125503897	"Shock experience"
125	"le105"	0.849983686786297	"Shock experience"
126	"le105"	0.849986623863028	"Shock experience"
127	"le105"	0.850006572893388	"Shock experience"
128	"le105"	0.850003216054544	"Shock experience"
129	"le105"	0.549982704946385	"Shock experience"
130	"le105"	0.190004277769856	"Shock experience"
131	"le105"	0.19002325089833	"Shock experience"
132	"le105"	0.189990797763149	"Shock experience"
133	"le105"	0.18997475658132	"Shock experience"
134	"le105"	0.190019470685801	"Shock experience"
135	"le105"	0.190004913315084	"Shock experience"
136	"le105"	0.189996477632969	"Shock experience"
137	"le105"	0.189993711131298	"Shock experience"
138	"le105"	0.520011098009295	"Shock experience"
139	"le105"	0.519982038616974	"Shock experience"
140	"le105"	0.289972507596585	"Shock experience"
141	"le105"	0.640011243060923	"Shock experience"
142	"le105"	0.639991598403697	"Shock experience"
143	"le105"	0.640002844141069	"Shock experience"
144	"le105"	0.640016743407283	"Shock experience"
145	"le105"	0.640011423675568	"Shock experience"
146	"le105"	0.640014367816092	"Shock experience"
147	"le105"	0.640012024650534	"Shock experience"
148	"le105"	0.38997682039805	"Shock experience"
149	"le105"	0.200016084928422	"Shock experience"
150	"le105"	0.200031801558276	"Shock experience"
151	"le105"	0.199983949923762	"Shock experience"
152	"le105"	0.2	"Shock experience"
153	"le105"	0.200015962965919	"Shock experience"
154	"le105"	0.199984052308428	"Shock experience"
155	"le105"	0.2	"Shock experience"
156	"le105"	0.199983533673637	"Shock experience"
157	"le105"	0.199983123787022	"Shock experience"
158	"le105"	0.739995109625886	"Shock experience"
159	"le105"	0.73998814664296	"Shock experience"
160	"le105"	0.740023612750885	"Shock experience"
161	"le105"	0.849977060712647	"Shock experience"
162	"le105"	0.850030129557096	"Shock experience"
163	"le105"	0.849996272273168	"Shock experience"
164	"le105"	0.849996364429579	"Shock experience"
165	"le105"	0.85002849814762	"Shock experience"
166	"le105"	0.8499963906735	"Shock experience"
167	"le105"	0.850007454897868	"Shock experience"
168	"le105"	0.849978780591314	"Shock experience"
169	"le105"	0.849971436732362	"Shock experience"
170	"le105"	0.849973506926046	"Shock experience"
171	"le105"	0.849982375749031	"Shock experience"
172	"le105"	0.85000357474798	"Shock experience"
1	"le109"	0.6	"Shock experience"
2	"le109"	0.6	"Shock experience"
3	"le109"	0.159972299168975	"Shock experience"
4	"le109"	0.160027540080653	"Shock experience"
5	"le109"	0.439996150514869	"Shock experience"
6	"le109"	0.58999064546305	"Shock experience"
7	"le109"	0.0499805144193297	"Shock experience"
8	"le109"	0.0500385653682993	"Shock experience"
9	"le109"	0	"Shock experience"
10	"le109"	0.0800307810696422	"Shock experience"
11	"le109"	0.0400463186336003	"Shock experience"
12	"le109"	0.0399691803910238	"Shock experience"
13	"le109"	0.039976936382856	"Shock experience"
14	"le109"	0.130014360938248	"Shock experience"
15	"le109"	0.130011454753723	"Shock experience"
16	"le109"	0.0600422021868406	"Shock experience"
17	"le109"	0.0299585781716598	"Shock experience"
18	"le109"	0.0299913486494281	"Shock experience"
19	"le109"	0.269999044251171	"Shock experience"
20	"le109"	0.169992251065479	"Shock experience"
21	"le109"	0.07	"Shock experience"
22	"le109"	0.25	"Shock experience"
23	"le109"	0.0499563488214182	"Shock experience"
24	"le109"	0.0499951461023202	"Shock experience"
25	"le109"	0.0499902931469618	"Shock experience"
26	"le109"	0.0500145391102065	"Shock experience"
27	"le109"	0.150014592859228	"Shock experience"
28	"le109"	0.359973071744566	"Shock experience"
29	"le109"	0.549957939994392	"Shock experience"
30	"le109"	0.689986027014439	"Shock experience"
31	"le109"	0.110003832886163	"Shock experience"
32	"le109"	0.409989494795148	"Shock experience"
33	"le109"	0.449985777946335	"Shock experience"
34	"le109"	0.140015229392728	"Shock experience"
35	"le109"	0.0500381242851697	"Shock experience"
36	"le109"	0.279957886676876	"Shock experience"
37	"le109"	0.0900255252307088	"Shock experience"
38	"le109"	0.219986324118394	"Shock experience"
39	"le109"	0.0599697122665321	"Shock experience"
40	"le109"	0.0600261859200322	"Shock experience"
41	"le109"	0.219962109881344	"Shock experience"
42	"le109"	0.5	"Shock experience"
43	"le109"	0.130007171396373	"Shock experience"
44	"le109"	0.129980538768821	"Shock experience"
45	"le109"	0.330032666394447	"Shock experience"
46	"le109"	0.119983577953402	"Shock experience"
47	"le109"	0.370044498381877	"Shock experience"
48	"le109"	0.439983861206375	"Shock experience"
49	"le109"	0.469992129083038	"Shock experience"
50	"le109"	0.52001550838422	"Shock experience"
51	"le109"	0.0700299025754799	"Shock experience"
52	"le109"	0.229973910522756	"Shock experience"
53	"le109"	0.4	"Shock experience"
54	"le109"	0.400037703836365	"Shock experience"
55	"le109"	0.39998166483315	"Shock experience"
56	"le109"	0.399981872564126	"Shock experience"
57	"le109"	0.400017814197916	"Shock experience"
58	"le109"	0.399982011153085	"Shock experience"
59	"le109"	0.459998212210602	"Shock experience"
60	"le109"	0.460021609940573	"Shock experience"
61	"le109"	0.460033937661874	"Shock experience"
62	"le109"	0.459994599945999	"Shock experience"
63	"le109"	0.459978366684694	"Shock experience"
64	"le109"	0.509989297181591	"Shock experience"
65	"le109"	0.50999826117197	"Shock experience"
66	"le109"	0.509993167065255	"Shock experience"
67	"le109"	0.51000834028357	"Shock experience"
68	"le109"	0.51	"Shock experience"
69	"le109"	0.510018810828494	"Shock experience"
70	"le109"	0.409988481158466	"Shock experience"
71	"le109"	0.539970084759847	"Shock experience"
72	"le109"	0.610004856726566	"Shock experience"
73	"le109"	0.640028456248518	"Shock experience"
74	"le109"	0.639975266656361	"Shock experience"
75	"le109"	0.64002487948997	"Shock experience"
76	"le109"	0.710011082379017	"Shock experience"
77	"le109"	0.709976623180756	"Shock experience"
78	"le109"	0.710009003601441	"Shock experience"
79	"le109"	0.709988144635448	"Shock experience"
80	"le109"	0.710010842067221	"Shock experience"
81	"le109"	0.70999306037474	"Shock experience"
82	"le109"	0.710015153602425	"Shock experience"
83	"le109"	0.709998626562285	"Shock experience"
84	"le109"	0.709997871283616	"Shock experience"
85	"le109"	0.75997480050399	"Shock experience"
86	"le109"	0.600013747594171	"Shock experience"
87	"le109"	0.6	"Shock experience"
88	"le109"	0.599987010456582	"Shock experience"
89	"le109"	0.59998749765581	"Shock experience"
90	"le109"	0.6	"Shock experience"
91	"le109"	0.600012267680795	"Shock experience"
92	"le109"	0.6	"Shock experience"
93	"le109"	0.5	"Shock experience"
94	"le109"	0.550012007684918	"Shock experience"
95	"le109"	0.5	"Shock experience"
96	"le109"	0.609978917779339	"Shock experience"
97	"le109"	0.610002977076511	"Shock experience"
98	"le109"	0.5	"Shock experience"
